sample_id,no_data,clouds,artificial,cultivated,broadleaf,coniferous,herbaceous,natural,snow,water
10087,0.0,0.0,0.0,0.528656005859375,0.1051177978515625,0.0,0.3662261962890625,0.0,0.0,0.0
10088,0.0,0.0,0.0,0.8830413818359375,0.0551300048828125,0.0,0.06182861328125,0.0,0.0,0.0
10089,0.0,0.0,0.0,0.796630859375,0.0636138916015625,0.0,0.1397552490234375,0.0,0.0,0.0
10090,0.0,0.0,0.0,0.24920654296875,0.6112823486328125,0.0,0.1395111083984375,0.0,0.0,0.0
10091,0.0,0.0,0.0,0.842864990234375,0.046173095703125,0.0,0.1109619140625,0.0,0.0,0.0
10092,0.0,0.0,0.0,0.991668701171875,0.006561279296875,0.0,0.00177001953125,0.0,0.0,0.0
10093,0.0,0.0,0.119659423828125,0.457000732421875,0.2950592041015625,0.0003509521484375,0.0977935791015625,0.0,0.0,0.0301361083984375
10094,0.0,0.0,0.0041351318359375,0.01116943359375,0.8837127685546875,0.0001373291015625,0.100830078125,0.0,0.0,1.52587890625e-05
10095,0.0,0.0,0.0104217529296875,0.4161529541015625,0.5163421630859375,0.0,0.0570831298828125,0.0,0.0,0.0
10096,0.0,0.0,0.000823974609375,0.45098876953125,0.062042236328125,0.0,0.48614501953125,0.0,0.0,0.0
10097,0.0,0.0,0.0,0.6908111572265625,0.06719970703125,0.0001678466796875,0.2418212890625,0.0,0.0,0.0
10098,0.0,0.0,0.0,0.3421783447265625,0.3118133544921875,3.0517578125e-05,0.345977783203125,0.0,0.0,0.0
10099,0.0,0.0,0.0,0.0,0.964447021484375,0.00030517578125,0.035247802734375,0.0,0.0,0.0
10100,0.0,0.0,0.0,0.0,0.9995269775390625,0.0,0.0004730224609375,0.0,0.0,0.0
10101,0.0,0.0,0.0,0.23394775390625,0.578338623046875,0.0,0.187713623046875,0.0,0.0,0.0
10102,0.0,0.0,0.0,0.376312255859375,0.4869232177734375,0.0023193359375,0.1344451904296875,0.0,0.0,0.0
10103,0.0,0.0,0.0,0.8029632568359375,0.0,0.0,0.1970367431640625,0.0,0.0,0.0
10104,0.0,0.0,0.0,0.564361572265625,0.0452728271484375,0.3021697998046875,0.08819580078125,0.0,0.0,0.0
10105,0.0,0.0,0.0,0.0,0.0034637451171875,0.9965362548828125,0.0,0.0,0.0,0.0
10106,0.0,0.0,0.0,0.0070953369140625,0.0915679931640625,0.81671142578125,0.084625244140625,0.0,0.0,0.0
10107,0.0,0.0,0.0,0.12579345703125,0.400848388671875,0.1281585693359375,0.3451995849609375,0.0,0.0,0.0
10108,0.0,0.0,0.0,0.038848876953125,0.56915283203125,0.0278778076171875,0.3641204833984375,0.0,0.0,0.0
10109,0.0,0.0,0.0,0.0034332275390625,0.1486053466796875,0.72650146484375,0.1214599609375,0.0,0.0,0.0
10110,0.0,0.0,0.0,0.2269439697265625,0.0406494140625,0.6526641845703125,0.079742431640625,0.0,0.0,0.0
10111,0.0,0.0,0.0,0.1917724609375,0.142791748046875,0.0052337646484375,0.6602020263671875,0.0,0.0,0.0
10112,0.0,0.0,0.0,0.357177734375,0.5109405517578125,0.0,0.1318817138671875,0.0,0.0,0.0
10113,0.0,0.0,0.0,0.0005340576171875,0.7512664794921875,0.0057373046875,0.242462158203125,0.0,0.0,0.0
10114,0.0,0.0,0.0,0.00054931640625,0.36932373046875,0.0,0.630126953125,0.0,0.0,0.0
10115,0.0,0.0,0.0,0.2119903564453125,0.2573699951171875,0.0,0.5306396484375,0.0,0.0,0.0
10116,0.0,0.0,0.0,0.0035552978515625,0.9365692138671875,0.0,0.05987548828125,0.0,0.0,0.0
10117,0.0,0.0,0.0,0.0,0.9875640869140625,0.0,0.0124359130859375,0.0,0.0,0.0
10118,0.0,0.0,0.0001220703125,0.999786376953125,0.0,0.0,9.1552734375e-05,0.0,0.0,0.0
