sample_id,no_data,clouds,artificial,cultivated,broadleaf,coniferous,herbaceous,natural,snow,water
10087,0.0,0.0,0.0306549072265625,0.478973388671875,0.0811309814453125,0.002105712890625,0.4069671630859375,0.0001068115234375,0.0,6.103515625e-05
10088,0.0,0.0,0.0038909912109375,0.85986328125,0.03271484375,0.0012969970703125,0.10223388671875,0.0,0.0,0.0
10089,0.0,0.0,0.0002288818359375,0.1999969482421875,0.2397613525390625,0.0096893310546875,0.550323486328125,0.0,0.0,0.0
10090,0.0,0.0,0.15716552734375,0.1180572509765625,0.2006988525390625,0.043426513671875,0.391357421875,0.0,0.0,0.08929443359375
10091,0.0,0.0,0.001312255859375,0.3840484619140625,0.0249481201171875,0.00543212890625,0.584259033203125,0.0,0.0,0.0
10092,0.0,0.0,0.00439453125,0.59283447265625,0.117431640625,0.0023193359375,0.28302001953125,0.0,0.0,0.0
10093,0.0,0.0,0.11175537109375,0.5091094970703125,0.1783905029296875,0.0071563720703125,0.1834869384765625,0.0,0.0,0.010101318359375
10094,0.0,0.0,0.1981964111328125,0.0293731689453125,0.1140289306640625,0.010223388671875,0.406646728515625,0.0,0.0,0.2415313720703125
10095,0.0,0.0,0.088653564453125,0.2581329345703125,0.1384124755859375,0.007049560546875,0.4940032958984375,0.0,0.0,0.0137481689453125
10096,0.0,0.0,0.084197998046875,0.09991455078125,0.1020355224609375,0.014129638671875,0.69586181640625,0.0,0.0,0.0038604736328125
10097,0.0,0.0,0.138916015625,0.2288970947265625,0.0518341064453125,0.0037384033203125,0.57574462890625,0.0,0.0,0.0008697509765625
10098,0.0,0.0,0.1883087158203125,0.2066497802734375,0.21722412109375,0.0083770751953125,0.354217529296875,0.0002899169921875,0.0,0.024932861328125
10099,0.0,0.0,0.26025390625,0.075469970703125,0.2267608642578125,0.1236724853515625,0.0877227783203125,0.0,0.0,0.2261199951171875
10100,0.0,0.0,0.0362396240234375,0.082183837890625,0.2568511962890625,0.4753875732421875,0.0254669189453125,0.0,0.0,0.123870849609375
10101,0.0,0.0,0.1194610595703125,0.3327789306640625,0.1249542236328125,0.072509765625,0.329681396484375,0.0,0.0,0.0206146240234375
10102,0.0,0.0,0.0945281982421875,0.1421966552734375,0.2108001708984375,0.1508636474609375,0.38983154296875,0.0,0.0,0.01177978515625
10103,0.0,0.0,0.0,0.32952880859375,0.1285858154296875,0.0,0.5418853759765625,0.0,0.0,0.0
10104,0.0,0.0,0.0085906982421875,0.5070037841796875,0.141876220703125,0.2098846435546875,0.1263427734375,0.0,0.0,0.0063018798828125
10105,0.0,0.0,0.0,0.1193695068359375,0.1886444091796875,0.0605316162109375,0.12127685546875,0.0,0.0,0.5101776123046875
10106,0.0,0.0,0.0159759521484375,0.104248046875,0.0309906005859375,0.0052490234375,0.0262908935546875,0.0,0.0,0.8172454833984375
10107,0.0,0.0,0.200531005859375,0.04901123046875,0.037994384765625,0.017547607421875,0.42913818359375,0.000274658203125,0.0,0.2655029296875
10108,0.0,0.0,0.326019287109375,0.04638671875,0.0603179931640625,0.0121307373046875,0.2256927490234375,4.57763671875e-05,0.0,0.32940673828125
